Timestamp,Class,Class Icon,Location,Duration,Total Silver,Silver/Hr,Trash/Hr,Loot Summary,Raw Data
2026-05-18 22:30:19,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:00,0,0,0,,{}
2026-05-18 22:30:27,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:00,0,0,0,,{}
2026-05-18 22:35:16,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:04:41,32253871,412336630,3848,"discarded kkebicap (x301), caphras stone (x6), black stone (x10)","{""discarded kkebicap"": {""qty"": 301, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 6, ""price"": 2280000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 10, ""price"": 275000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-18 22:57:54,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:06:57,94863935,816673349,12784,"discarded kkebicap (x1485), ancient spirit dust (x19), caphras stone (x4)","{""discarded kkebicap"": {""qty"": 1485, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 19, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 4, ""price"": 2280000, ""icon"": ""drop_icons/721003.png""}}"
2026-05-18 23:17:17,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:59,235930717,1287602081,12699,"discarded kkebicap (x2327), won dawn crystal - damage reduction (x1), ancient spirit dust (x7), black stone (x6), caphras stone (x4)","{""discarded kkebicap"": {""qty"": 2327, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""won dawn crystal - damage reduction"": {""qty"": 1, ""price"": 100000000, ""icon"": ""drop_icons/15272.png""}, ""ancient spirit dust"": {""qty"": 7, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}, ""black stone"": {""qty"": 6, ""price"": 275000, ""icon"": ""drop_icons/16001.png""}, ""caphras stone"": {""qty"": 4, ""price"": 2280000, ""icon"": ""drop_icons/721003.png""}}"
2026-05-18 23:35:17,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:12,256078210,1371129993,13439,"discarded kkebicap (x2510), won dawn crystal - damage reduction (x1), caphras stone (x7), black stone (x15), ancient spirit dust (x10)","{""discarded kkebicap"": {""qty"": 2510, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""won dawn crystal - damage reduction"": {""qty"": 1, ""price"": 100000000, ""icon"": ""drop_icons/15272.png""}, ""caphras stone"": {""qty"": 7, ""price"": 2280000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 15, ""price"": 275000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 10, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-18 23:45:59,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:31,0,0,0,,{}
2026-05-19 01:20:13,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:01:13,420568,20620303,392,discarded kkebicap (x8),"{""discarded kkebicap"": {""qty"": 8, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}}"
2026-05-19 01:33:00,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:15,423286266,2256030394,19432,"discarded kkebicap (x3646), caphras stone (x28), ancient spirit dust (x21), won dawn crystal - all ap (x1), won dawn crystal - accuracy (x1), black stone (x4)","{""discarded kkebicap"": {""qty"": 3646, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 28, ""price"": 2100000, ""icon"": ""drop_icons/721003.png""}, ""ancient spirit dust"": {""qty"": 21, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}, ""won dawn crystal - all ap"": {""qty"": 1, ""price"": 64000000, ""icon"": ""drop_icons/15263.png""}, ""won dawn crystal - accuracy"": {""qty"": 1, ""price"": 100000000, ""icon"": ""drop_icons/15269.png""}, ""black stone"": {""qty"": 4, ""price"": 290000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-19 02:42:26,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:03,0,0,0,,{}
